,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,131.0,KCB,26574.0,27177.0,Salón Comunal BARRIO INVE,Roger Ballet esq. A1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,132.0,KCB,27178.0,27749.0,Salón Comunal COVISAN 7,Diagonal 300 No 2245,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,133.0,KCB,27750.0,28343.0,Escuela No. 112,Joaquín Suarez 579,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,139.0,30985.0,31502.0,Escuela No. 114,"Avda. Gral. J de San Martín entre J. Suárez y Bvar.Artigas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,140.0,31503.0,32003.0,Policlínica Barrio IC 23,Almagro esq. J Suarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,141.0,32004.0,32474.0,CAIF Bo. Santa Monica,B. Chaín y Dr. Felippone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,142.0,32475.0,32938.0,"Salón Comunal Barrio LosParaisos",Avda. Gral. J de San Martín y Dr. Felippone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,143.0,32939.0,33407.0,Instituto Canadá,Avda. Gral. J de San Martín y Guayabos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,144.0,33408.0,33878.0,Escuela No. 26 y No 99,José Pedro Varela No. 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,145.0,33879.0,34336.0,Escuela No. 26 y No 99,José Pedro Varela No. 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,146.0,34337.0,34821.0,Escuela No. 26 y No 99,José Pedro Varela No. 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,147.0,34822.0,35267.0,Escuela No. 26 y No 99,José Pedro Varela No. 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,148.0,35268.0,35701.0,Capilla Ntra. Sra. Del Pilar,Montevideo No. 228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,149.0,35702.0,36138.0,"Bo. Municipales II SalónComunal",Independencia esq. Benito Chaín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,150.0,36139.0,36562.0,"Bo. Municipales III SalónComunal",Marota de Graña entre Setembrino Pereda e Independencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,151.0,36563.0,36998.0,Escuela No. 95,Avda. Soriano esquina Silván Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,152.0,36999.0,37433.0,CAIF Los Indiecitos,Pinilla No. 480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,153.0,37434.0,37851.0,Touring Club,33 Orientales 629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,154.0,37852.0,38286.0,COVIEMSA,Silverio Martinez y Zorrilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,155.0,38287.0,38707.0,COVIEMSA,Silverio Martinez y Zorrilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,156.0,38708.0,39126.0,COVIMAG,Herrera y Fco. Bicudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,S,URBANO,,KCB,,,,,,157.0,39127.0,39542.0,Club Colón,Dr. Felippone esq. Artigas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,158.0,39543.0,39945.0,Oficina ANEP,25 de Mayo No. 1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,N,URBANO,,KCB,,,,,,159.0,39946.0,40352.0,Instituto MAFALDA,Sarandí 1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,168.0,KCC,6645.0,7241.0,Liceo Franscisco,Dr. Roldán 3245,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,169.0,KCC,7242.0,7861.0,Escuela No. 13,Nuevo Paysandú,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,170.0,KCC,7862.0,8409.0,Escuela No. 13,Nuevo Paysandú,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,171.0,KCC,8410.0,8902.0,Escuela No. 13,Nuevo Paysandú,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,172.0,KCC,8903.0,9377.0,Caif Nuevo Paysandú,Calle 29 A esq. Avda. de las Américas,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,173.0,KCC,9378.0,9847.0,Policlìnica Nuevo Paysandu,Calle 29 A esq. Avda. de las Américas,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,174.0,KCC,9848.0,10335.0,Liceo No. 6 Nuevo Paysandu,Calle S/N esq. Monseñor Nicolini,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,175.0,KCC,10336.0,10775.0,Liceo No. 6 Nuevo Paysandu,Calle S/N esq. Monseñor Nicolini,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,N,,,,,,176.0,KCC,10776.0,11192.0,Escuela No. 7,San Francisco,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,N,,,,,,177.0,KCC,11193.0,11632.0,Escuela No. 7,San Francisco,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,178.0,KCC,11633.0,12055.0,Escuela No. 111,Asunción esq. Venezuela,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,S,,,,,,179.0,KCC,12056.0,12466.0,Escuela No. 111,Asunción esq. Venezuela,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,N,,,,,,180.0,KCC,12467.0,12871.0,Escuela No. 15,Limite Este y Yapeyú,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,N,,,,,,181.0,KCC,12872.0,13274.0,Escuela No. 15,Limite Este y Yapeyú,392.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,,,,,,,,,,N,,,,,,182.0,KCC,13275.0,13740.0,Escuela No. 15,Limite Este y Yapeyú,398.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,RURAL,,,,,,,,,,,,,,,,,,,,,,S,,,,,,183.0,KCD,1.0,1491.0,Salón Comunal MEVIR,Pueblo Esperanza,233.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,RURAL,,,,,,,,,,,,,,,,,,,,,,N,,,,,,184.0,KCD,1492.0,1795.0,Escuela No. 58,Pueblo Esperanza,233.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,RURAL,,,,,,,,,,,,,,,,,,,,,,N,,,,,,185.0,KCD,1796.0,2043.0,Escuela No. 58,Pueblo Esperanza,233.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,RURAL,,,,,,,,,,,,,,,,,,,,,,N,,,,,,186.0,KCE,1.0,1453.0,Escuela No. 19,Estación Porvenir,157.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,RURAL,,,,,,,,,,,,,,,,,,,,,,N,,,,,,187.0,KCE,1454.0,1643.0,Escuela No. 47,Colonia 19 de Abril,158.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,RURAL,,,,,,,,,,,,,,,,,,,,,,S,,,,,,188.0,KDA,1.0,1724.0,Exposición Feria Paysandú,Ruta 90 Km. 7,257.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,RURAL,,,,,,,,,,,,,,,,,,,,,,S,,,,,,189.0,KDA,1725.0,2133.0,Exposición Feria Paysandú,Ruta 90 Km. 7,257.0,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,196.0,KDB,4327.0,4673.0,Escuela No. 14,Pueblo Porvenir,281.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,197.0,KDB,4674.0,4988.0,Escuela No. 14,Pueblo Porvenir,281.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,198.0,KDB,4989.0,5285.0,Escuela No. 14,Pueblo Porvenir,284.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,199.0,KDC,1.0,2323.0,Escuela No. 21,Casa Blanca,272.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,200.0,KDC,2324.0,2867.0,Escuela No. 21,Casa Blanca,272.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,201.0,KDC,2868.0,3260.0,Escuela Nro. 9,Colonia Paysandú,272.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,202.0,KDC,3261.0,3590.0,Salón Comunal B. San Felix,San Felix,272.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,203.0,KDC,3591.0,3881.0,Escuela Nro. 25,San Felix,272.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,204.0,KDC,3882.0,4171.0,Escuela Nro. 25,San Felix,272.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,205.0,KDC,4172.0,4455.0,Escuela Nro. 25,San Felix,274.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,206.0,KDD,1.0,527.0,Escuela Nro. 66,Rabón,48.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,207.0,KDE,1.0,881.0,Escuela Nro. 50,Celestino - La Tentación,162.0,RURAL,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,208.0,KEA,1.0,6258.0,INAU,Guichón,410.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,209.0,KEA,6259.0,7989.0,Liceo Guichón,Guichón,410.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,210.0,KEA,7990.0,8994.0,Liceo Guichón,Guichón,410.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,211.0,KEA,8995.0,9887.0,Escuela Nro. 77,Guichón,410.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,212.0,KEA,9888.0,10587.0,Jardín Nro. 104,Guichón,410.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,213.0,KEA,10588.0,11246.0,Escuela Nro. 5,Guichón,410.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,214.0,KEA,11247.0,11787.0,Escuela Nro. 5,Guichón,410.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,215.0,KEA,11788.0,12279.0,Escuela Nro. 5,Guichón,400.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,216.0,KEA,12280.0,12722.0,Escuela Técnica Guichón,Guichón,400.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,217.0,KEA,12723.0,13152.0,Escuela Técnica Guichón,Guichón,400.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,218.0,KEA,13153.0,13566.0,Auditorio Guichón,Guichón,400.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,219.0,KEA,13567.0,13982.0,Escuela Nro. 39,Guichón,405.0,URBANO,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,RURAL,228.0,KEF,1.0,2464.0,Municipio,Tambores,248.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,229.0,KEF,2465.0,2898.0,Escuela Nro. 92,Tambores,248.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,230.0,KEF,2899.0,3179.0,Liceo Local,Tambores,250.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,231.0,KFA,1.0,822.0,Escuela Nro. 30,Arroyo Malo,94.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,232.0,KFB,1.0,1740.0,Escuela Nro. 48,Lorenzo Geyres,214.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,233.0,KFB,1741.0,2075.0,Escuela Nro. 48,Lorenzo Geyres,214.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,RURAL,234.0,KFB,2076.0,2330.0,Municipio,Lorenzo Geyres,214.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,235.0,KFB,2331.0,2570.0,Salon Comunal QUEGUAYAR,Queguayar,214.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,236.0,KFC,1.0,3875.0,Municipio,Quebracho,285.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,RURAL,237.0,KFC,3876.0,4753.0,Salón Comunal,Quebracho,285.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,238.0,KFC,4754.0,5380.0,Liceo Local,Quebracho,285.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,239.0,KFC,5381.0,5887.0,Liceo Local,Quebracho,285.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,240.0,KFC,5888.0,6363.0,Liceo Local,Quebracho,285.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,RURAL,241.0,KFC,6364.0,6777.0,Escuela Nro. 23,Quebracho,285.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,RURAL,242.0,KFC,6778.0,7126.0,Escuela Jardín Nro. 109,Quebracho,285.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,RURAL,243.0,KFC,7127.0,7445.0,Escuela Jardín Nro. 109,Quebracho,285.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,RURAL,244.0,KFC,7446.0,7750.0,Escuela Nro. 97,Quebracho,285.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,245.0,KFC,7751.0,8048.0,Escuela Nro. 97,Quebracho,289.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,246.0,KFD,1.0,729.0,Escuela Nro. 90,Sauce del Queguay,51.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,247.0,KFE,1.0,2048.0,Escuela Nro. 31,Sauce de Buricayupí,173.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,248.0,KFE,2049.0,2263.0,Escuela Nro. 64,Soto,173.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,249.0,KFF,1.0,1914.0,Junta Local,El Eucalipto,271.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,250.0,KFF,1915.0,2216.0,Salón Comunal,Zeballos,271.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,251.0,KGA,1.0,1269.0,Escuela Nro. 46,Arroyo Negro,127.0,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,KHB,401.0,12,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,1.0,,,,,260.0,KHC,1025.0,Escuela Nro. 56,Colonia Juan Gutierrez,46.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,1.0,,,,,261.0,KIA,659.0,Escuela Nro. 85,Guarapirú,194.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,1.0,,,,,262.0,KIB,565.0,Salón Comunal MEVIR,Gallinal,259.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,566.0,,,,,263.0,KIB,850.0,Liceo Local,Gallinal,260.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,1.0,,,,,264.0,KIC,1442.0,Escuela Nro. 16,Cerro Chato,185.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,1443.0,,,,,265.0,KIC,1666.0,Escuela Nro. 16,Cerro Chato,186.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,1.0,,,,,266.0,KID,1103.0,Salón Comunal MEVIR,Chapicuy,255.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,1104.0,,,,,267.0,KID,1441.0,Escuela Nro. 54,Chapicuy,255.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,1442.0,,,,,268.0,KID,1714.0,Escuela Nro. 54,Chapicuy,256.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,1.0,,,,,269.0,KIE,576.0,Salón Comunal MEVIR,Bella Vista,45.0,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,RURAL,,,,,,,,270.0,FICTO,,Exposición Feria Paysandú,Ruta 90 Km. 7,,planes_circuitales\Paysandu.pdf
