Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
108.0,QCA,16962,17372,Edina F. de Molina No 786,Escuela No 113 -  Sarandí Grande,400.0,SI,Urbano,planes_circuitales\Florida.pdf
109.0,QCA,17373,17790,Edina F. de Molina No 786,Escuela No 113  - Sarandí Grande,404.0,SI,Urbano,planes_circuitales\Florida.pdf
110.0,QCB,1,622,Ruta  5 Km 138.500,Escuela No 81 - Sauce de Maciel,17.0,SI,Rural,planes_circuitales\Florida.pdf
111.0,QCC,1,410,Ruta 58 Km 27,Escuela No 87 -  Cuch. Sto Domingo,48.0,SI,Rural,planes_circuitales\Florida.pdf
112.0,CD Puntas de Maci,"l1",1762,Ruta 5 km 152. 500,Escuela No 29 - Puntas de Maciel,245.0,SI,Rural,planes_circuitales\Florida.pdf
,QCF Arroyo Sarandí,1,211,17,,,,,planes_circuitales\Florida.pdf
113.0,QCE,1,1826,Sarandí y 25 de Agosto,Escuela No 11 - Goñi,215.0,SI,Rural,planes_circuitales\Florida.pdf
114.0,QDA,1,2963,18 de Julio S/N,Salón Parroquial - Chamizo,355.0,SI,Rural,planes_circuitales\Florida.pdf
115.0,QDA,2964,3610,18 de Julio S/N,Salón Parroquial - Chamizo,356.0,SI,Rural,planes_circuitales\Florida.pdf
116.0,QDA,3611,4018,25 de Agosto S/N,Escuela No 19 - Chamizo,356.0,SI,Rural,planes_circuitales\Florida.pdf
117.0,QDB,1,1425,Ruta 94 Km 94,Escuela No 15 - La Escobilla,126.0,SI,Rural,planes_circuitales\Florida.pdf
118.0,QDC,1,6366,L. A. de Herrara esq. Rodó,Liceo de Casupá,313.0,SI,Rural,planes_circuitales\Florida.pdf
,QEE Milán,1,826,9,,,,,planes_circuitales\Florida.pdf
119.0,QDC,6367,7136,L. A. de Herrera esq. Rodó,Liceo  Casupá,315.0,SI,Rural,planes_circuitales\Florida.pdf
120.0,QDC,7137,7740,L. A. de Herrera esq. Rodó,Liceo  Casupá,315.0,SI,Rural,planes_circuitales\Florida.pdf
121.0,QDC,7741,8262,L. A. de Herrera esq. Rodó,Liceo  Casupá,315.0,SI,Rural,planes_circuitales\Florida.pdf
122.0,QDC,8263,8682,L. A. de Herrera esq. Artigas,Club Social Casupá,315.0,NO,Rural,planes_circuitales\Florida.pdf
123.0,QDC,8683,9063,L. A. de Herrera esq. Artigas,Club Social Casupá,315.0,NO,Rural,planes_circuitales\Florida.pdf
124.0,QDC,9064,9422,L. A. de Herrera esq. Artigas,Escuela No 34  - Casupá,315.0,SI,Rural,planes_circuitales\Florida.pdf
125.0,QDC,9423,9752,L. A. de Herrera esq. Artigas,Escuela No 34 - Casupá,315.0,SI,Rural,planes_circuitales\Florida.pdf
127,QDD,5502,6217,Independencia esq. Piedra Alta,Club Centenario- Fray Marcos,320.0,SI,Rural,planes_circuitales\Florida.pdf
