Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,Unnamed: 0,MAA,57868,58530,Mercedes,Club El Remanso - Cassinoni y Paysandú,400,N,Urbano,77468,77946,"Escuela No 104, Giménez 797",S,MBA,2635,3149,Villa Soriano,"Escuela No 6, Villa Soriano",289,Rural,MCA,31497,32003,Dolores,"Escuela No 2, Puig 1552",410,MED,1,920,San Martín,"Escuela No 34, San Martin",65,MGA,532,Arroyo Corto,"Escuela No 74, Arroyo Corto",77,file
,,,,,,,,,35.0,MAA,60383.0,61106.0,Mercedes,"Escuela Americana, 18 de Julio 538",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,36.0,MAA,61107.0,61758.0,Mercedes,"Escuela Americana, 18 de Julio 538",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,37.0,MAA,61759.0,62477.0,Mercedes,"Asoc. Jub. ""33 Orientales"", Casagrande 705",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,38.0,MAA,62478.0,63154.0,Mercedes,"Escuela No 7, Casagrande y Artigas",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,39.0,MAA,63155.0,63756.0,Mercedes,"Escuela No 7, Casagrande y Artigas",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,40.0,MAA,63757.0,64342.0,Mercedes,"Club Asencio, Colón 642",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,41.0,MAA,64343.0,65010.0,Mercedes,"Salón PRIS, Garibaldi 934",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,42.0,MAA,65011.0,65623.0,Mercedes,"Salón PRIS, Garibaldi 934",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,43.0,MAA,65624.0,66226.0,Mercedes,"Covianalpa I, Gomensoro y Don Bosco",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,44.0,MAA,66227.0,66815.0,Mercedes,"Club Asencio, Colón 642",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,45.0,MAA,66816.0,67382.0,Mercedes,"Escuela No 24, Lavalleja 444",400.0,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,46.0,MAA,67383.0,67985.0,Mercedes,"Escuela No 24, Lavalleja 444",400.0,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,47.0,MAA,67986.0,68551.0,Mercedes,"Escuela No 11, Paysandú 1048",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,48.0,MAA,68552.0,69084.0,Mercedes,"Escuela No 11, Paysandú 1048",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,49.0,MAA,69085.0,69653.0,Mercedes,"Escuela No 11, Paysandú 1048",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,50.0,MAA,69654.0,70254.0,Mercedes,"Centro Papelero, De Castro y Careaga 934",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,51.0,MAA,70255.0,70825.0,Mercedes,"OSE, W. Ferreira Aldunate 507",400.0,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
